id,group,claim,minted,corpus,instrument,metric_units,kind,real_check,verdict,note
L054,G. Real-kernel A/Bs (2026-09-01/02),"What the class cap costs: median 8.66%, p90 13.22%, max 15.07% vs a 4x-lifted reference on the 132 ClassCap glyphs (a lower bound; 128/132 lifted runs still capped); clock cuts up to 47%",docs/results/2026-09-01-production-saturation-telemetry.md,193 real,same; arena latency-prior cost,% of per-node latency-prior cost of a TREE-objective extraction (pre-#1192),real,chrome: 12x more classes made the CLOCK 15% slower (S3),UNITS INVALID,Deterministic cost of a tree-DP extraction; direction contradicted by the one clocked real shader.
L055,G. Real-kernel A/Bs (2026-09-01/02),"More saturation sometimes extracts WORSE code: 24/193 rows (12.4%) where a lifted run costs more (e.g. 'V' 2,586 -> 2,618)",docs/results/2026-09-01-production-saturation-telemetry.md §Anomalies,193 real,same,count; latency-prior cost,real,"chrome cap 5,000 -> 60,000: +15% ns/px; live-cap A/B: 4 real regressions; upward congruence: 36 worse",HELD,Reconfirmed by every later A/B and by the clock on chrome.
L056,G. Real-kernel A/Bs (2026-09-01/02),"Real kernels fire median 8,446 applications (p90 22,050, max 40,606) before production stops — 85x the registered B=100",docs/results/2026-09-01-production-saturation-telemetry.md §Effective B,193 real,same,rule applications (count),real,n/a,HELD,"The gap that makes every B=100/200 Guide claim a claim about a regime production never runs in. REGIME HISTORICAL 2026-09-08: these are the former 200 ms clock-limited figures. Under the production budget now shipped, docs/results/2026-09-07-corpus-structural-gaps.md reports 93% of 207 real kernels stopping at ClassCap with a median 5,422 applications, against the 68.4% and 8,446 quoted here. L069 already records that the wall clock is now only a fail-loud ceiling. The dependent 'registered B=100 is 85x below production' is 54x against that median (5422/100), not 85x."
L057,G. Real-kernel A/Bs (2026-09-01/02),Rule order on real kernels: numeric-first is 0.9702 median (146 improved / 37 same / 21 worse of 204) in the production regime; psychedelic 1.0444 and smooth_min_scene 1.0806 WORSE; anytime regret 21.8% -> 18.6% at B=100,origin/claude/all-rules-numeric-first:docs/results/2026-09-01-rule-order-real-kernels.md (PR #1101 CLOSED unmerged; #1188 MERGED 2026-09-08 as 0df1bee),"204 real: 12 shader_bench ports, psychedelic, 623-node cell grid, 190 glyphs",production_telemetry::run_with_rules; anytime_curve_arena,per-node latency-prior cost of TREE-objective extraction (pre-#1192),real,this IS the real check of Round 2 v3,UNITS INVALID,"The merged report states the opposite of an earlier reading of it: 'No change to all_rules()'s shipped order is made here — this is a measurement' (2026-09-01-rule-order-real-kernels.md:233). Production order is unchanged, which main's all_rules() confirms (no math/rule_order.rs; only the research RuleOrder::StaticReorder variant). Re-take under #1192 before any reorder ships."
L058,G. Real-kernel A/Bs (2026-09-01/02),"Class-cap ghosts: allocated/live median 2.61x (worst 10.07x); 231/406 hit the cap, 163 ghost-bound; raising the cap by the ratio recovers median 2.35% (p90 17.4%) and 212/231 re-hit the raised cap",origin/claude/class-cap-live:docs/results/2026-09-02-class-cap-ghosts.md (#1114 CLOSED),206 real + 200 synthetic (5 depth bands x 40 seeds),"class_cap_ghosts probe, Optimizer::production()",counts; per-node latency-prior cost (pre-#1192),real,chrome: more classes = slower clock,UNITS INVALID,Counts HELD; the recovery % is a tree-DP number and its sign was contradicted on the clock.
L059,G. Real-kernel A/Bs (2026-09-01/02),Live-counted class budget: real kernels +2.03% median / +6.27% p90 cheaper (155 improved / 4 regressed) for 2.00x median rule applications and ~2x peak e-graph,origin/claude/class-cap-live:docs/results/2026-09-02-class-cap-live-ab.md (#1114 CLOSED),206 real + 200 synthetic,"A/B in one process, Budget::Production vs Explicit",per-node latency-prior cost (pre-#1192); wall clock context only (load 5),real,"extraction-gap: the two U+004B regressions are extraction failures (roomier graph holds 1013, greedy returns 1132); chrome clock says more classes is slower",UNITS INVALID,Closed unmerged; cost sign is a tree-objective artifact on at least the regressions.
L060,G. Real-kernel A/Bs (2026-09-01/02),"Removing the cap-break costs quality on 140/204 real kernels (median 1.0034x, max 1.305x) but 40x compile time in pixelflow-compiler tests (3.0 s -> 120 s)",origin/claude/cap-break-ab:docs/results/2026-09-02-cap-break-ab.md (#1109 CLOSED),204 real,"cap_break_ab, two arms of saturate_with_limits",per-node latency-prior cost (pre-#1192); wall clock,real,n/a,UNITS INVALID,Also the run was loaded (9-21) and arm B is clock-bound on 187/204; the compile-time cost is the reason it stayed closed.
L061,G. Real-kernel A/Bs (2026-09-01/02),"Upward congruence closure works but is not worth shipping: pooled -0.07% on 111 distinct real kernels, 36 worse (to +17.3%) / 28 better; it makes rule order matter MORE (MAD 0.031 -> 0.054); cap-hit set unchanged 231/231",origin/claude/upward-congruence:docs/results/2026-09-02-upward-congruence-ab.md (closed unmerged),206 real + 200 synthetic,Optimizer::congruence() A/B,per-node latency-prior cost (pre-#1192); counts,real,n/a,UNITS INVALID,"Doc's own reading: 'extraction is the bottleneck, not congruence' — i.e. the number is about the greedy tree DP, which #1192 replaced."
L062,G. Real-kernel A/Bs (2026-09-01/02),"Missing congruence does not explain the class cap: 807 extra unions post-orphan-fix (922 as first published) (0.24% of live classes), median per-kernel reduction 0.00%, cost changes on 23/406 (never worse); only 2/231 cap-hit kernels have live >= cap",docs/results/2026-09-02-missing-congruence.md (#1110),206 real + 200 synthetic,congruence_gap_probe (offline closure on a clone),counts; latency-prior cost,real,"orphan fix re-run: 807 unions instead of 922, medians unchanged",HELD,H-a refuted on counts; the small cost column is pre-#1192 but not load-bearing.
L063,G. Real-kernel A/Bs (2026-09-01/02),"rebuild_budgeted orphaned 760 e-nodes on 105/206 real kernels; the fix changes NO extracted cost, node count or stop reason",docs/results/2026-09-02-rebuild-writeback-orphan.md,206 real,repair_writeback_blast_radius A/B,counts; latency-prior cost,real,n/a,HELD,0 kernels differ — unit-independent.
L064,G. Real-kernel A/Bs (2026-09-01/02),"Greedy extraction leaves 0.26% pooled (14.6% worst) vs the exact TREE optimum on 302 kernels; 95% of the PROVED gap is tree-vs-DAG objective, 5% the single-DFS CYCLE_COST; 213/302 unsolvable exactly; total_cost is arithmetic garbage on 132/302",docs/results/2026-09-02-extraction-gap.md (#1115),206 real + 96 synthetic,Knuth tree optimum + 4 s branch-and-bound,dag_cost of returned terms; counts,real,#1192 measured -0.22% pooled on the same 206 — matches the prediction,HELD,"The measurement that changed the units; the 95/5 split is a small-kernel statement (solved set) and inverts at production scale, as the doc says."
L065,G. Real-kernel A/Bs (2026-09-01/02),"Latency prior re-measured: Sin 70->95, Cos 75->103, Tan 87->117 (+34-37%, a different range reduction since #992), Sqrt 15->13, Select 4->3; 24/29 within spread",origin/claude/extraction-objective:docs/results/2026-09-02-latency-prior-remeasure.md (#1134 CLOSED unmerged),"measure_latency_prior, 7 runs gated load < 4","BenchMode::Latency, Add=4 anchor",table cycles (units of 3/4 cycle),synthetic,main's table still carries Sin=70/Cos=75/Tan=87 — every cost on main prices trig with a row the doc showed stale,INSTRUMENT DEFECT,Absolute ns are 4x optimistic (INPUT_TUPLES/INPUT_VECTORS lane confusion since #1071); 21/50 entries unmeasurable incl. Gather/RawGather (NULL context pointer); single-batch tile.
L066,G. Real-kernel A/Bs (2026-09-01/02),Cost-table insensitivity: re-pricing 206 real kernels under the new table changes 0 extracted terms; a 33x perturbation (Sqrt=Sin=4000) changes 0 of 190 glyph extractions,same doc §3,206 real,"cost_table_ab probe, one saturation extracted twice",count of changed terms,real,n/a,HELD,The saturated e-graph holds no alternative lowering to switch to on this corpus — the cost model is not the lever on glyphs.
L067,G. Real-kernel A/Bs (2026-09-01/02),"Extraction now prices sharing (#1192): 95.9% of the closable gap (187/195 units, 3 kernels); real kernels 55 improved / 151 unchanged / 0 worse, pooled -0.22%; extraction 2.23x slower","docs/results/2026-09-06-extraction-objective-rebase.md; 2026-09-02-extraction-objective.md (#1139 CLOSED, #1192 MERGED 2026-09-07)",206 real + 96 synthetic,extraction_objective_measurement; 9 alternating pairs,dag_cost; wall ratio,real,"chrome schedule 401 -> 385 entries, code -160 B NEON / -539 B SSE2, compile +0.6 ms; psychedelic unchanged; glyph warm +2.2 ms/kernel (+4.7%), 55/95 glyphs change bytes, some GROW",HELD,Deterministic columns hold on both production shapes; the chrome ns/px (-1.4%) is inside the host's ~10% noise and is not claimed.
L068,G. Real-kernel A/Bs (2026-09-01/02),"Integration audit: static latency table LIVE-DEFAULT, NNUE head OPT-IN and never set, Guide LIBRARY-ONLY, provenance recording LIVE-DEFAULT with no consumer",docs/results/2026-09-01-integration-audit.md (at 5568a807),code,three independent traces,status,n/a,#1093 deleted the head; #1118 gated the provenance journal,HELD,"No LEARNED research artifact had changed a shipped kernel as of 09-01 -- the NNUE head was opt-in and never set, the Guide library-only. SCOPE CORRECTED 2026-09-08: the earlier wording said 'no research artifact', which this row's own status column contradicts. Two non-learned ones were live: the remeasured static latency table (shipped be4f98df / #984, and the integration audit names it as 'the one that did change what a user runs') and provenance recording, live on every production compile with no consumer and its cost never measured -- which is why #1118 gated it."
L069,G. Real-kernel A/Bs (2026-09-01/02),"Production budgets denominated in applications: blitz 20,000 / rapid 80,000 / classical 200,000, sized 3.6x above the worst real kernel's 55,242",docs/plans/2026-09-01-production-budget-determinism.md,193 real (#1087) + DEV,counts from telemetry,rule applications,real,n/a,HELD,"Wall clock is now a fail-loud ceiling; a deterministic design decision, correctly grounded in real counts."
L070,"H. Lattice programme (real shaders, Sep 6)",bake is 2.6-2.9x faster than kernel! on the psychedelic shader at SSE2 (31.9-35.0 vs 11.8-13.3 ns/px) and 1.3-1.4x at AVX-512; the old ten-scanline baseline flattered templates ~20%,docs/plans/2026-09-06-kernel-with-a-lattice.md S1 (#1172),"psychedelic shader, whole frame","bench_psychedelic, median of 5, single thread",ns/px,real,lattice-is-the-index: 2.86x (1.84 vs 5.26) at AVX-512 native — attributed to W-hoisting the JIT does and LLVM does not,HELD,"A JIT-vs-LLVM comparison, not an e-graph-on-vs-off comparison; the e-graph's own share is unmeasured (F)."
L071,"H. Lattice programme (real shaders, Sep 6)",S3 chrome scene: packed lane took 1.69-3.12x as long as the surface lane (43.30 vs 13.89 ns/px SSE2 1T; equivalently 0.32-0.59x its throughput) — acceptance NOT met; the cause is a select computing both worlds where the old tier skipped one,docs/plans/2026-09-06-kernel-with-a-lattice.md S3 (#1176),chrome scene 1920x1080,"bench_scene_chrome, median of 9, idle 4-core host","ns/px; 429,395 arena nodes; 211 ms compile",real,fixed by S3b,HELD,The real shader that 'shit the bed': a schedule effect no cost model saw.
L072,"H. Lattice programme (real shaders, Sep 6)","Raising the class cap 5,000 -> 60,000 on chrome costs 30x compile and makes the kernel 15% SLOWER (43 -> 51 ns/px); world(select(m,R,D)) buys 10% at 4.6M nodes and 2.0 s compile",docs/plans/2026-09-06-kernel-with-a-lattice.md S3; production-scale §3,chrome scene,bench_scene_chrome,"ns/px, compile s",real,n/a,HELD,"The clocked contradiction of every 'more classes = cheaper cost' A/B in group G. SCOPE CORRECTED 2026-09-08: this row stands, but as an OUT-OF-DOMAIN COUNTEREXAMPLE rather than a contradiction of the group-G cap A/Bs. Chrome is one scene clocked at runtime; those A/Bs are latency-prior extraction cost over glyph and cell-grid populations, so a slower chrome clock shows the cost conclusion does not transfer universally and cannot contradict 'every' per-kernel observation -- this ledger's own corpus rule rejects that cross-population inference. The older cost rows stay invalidated on the independent tree-vs-DAG grounds."
L073,"H. Lattice programme (real shaders, Sep 6)","S3b: one select per colour + arm clustering + a mispredict bound gives chrome 12.10 ns/px SSE2 1T (3.6x, 1.22-1.75x ahead of the surface lane at every thread count); 642 guarded arm-exclusive entries summed across 17 selects, against a 401-entry body schedule (a per-select aggregate, not 642 distinct entries of 401); no golden moved",docs/plans/2026-09-06-kernel-with-a-lattice.md S3b (#1177),chrome scene; 208-kernel collapse_cost corpus,bench_scene_chrome; PIXELFLOW_GUARD_TELEMETRY; collapse_cost,ns/px; schedule entries; bytes,real,n/a,HELD,"The win is in the schedule (guard emission, arm contiguity), which is not an e-node — the frame's central fact."
L074,"H. Lattice programme (real shaders, Sep 6)",dyn_memory_ops predicts +40.8% (SSE2) / +32.1% (AVX-512) for the S3b change whose corpus clock moved -7.2% / -8.3%,kernel-with-a-lattice S3b; schedule-cost-model-denotation §9,208 kernels (193 glyph bakes + 15 synthetic),collapse_cost analyze,trip-weighted mem ops vs sigma drift-corrected clock,real,n/a,INSTRUMENT DEFECT,"The corpus predictor is blind to a skipped range; the second run moved the clock to -20.7% / -2.7% — 'the sign is the claim, the magnitude is not'."
L075,"H. Lattice programme (real shaders, Sep 6)","dyn_traffic = sigma(loads+stores+remats) x trips gets the paired sign right 99.1% / 97.9% across five allocations; dyn_mem_ops ranks at rho 0.825 (AVX-512) / 0.796 (SSE2) with aggregate sign 72.5%/77.6%, but is anti-correlated on the three pairs it actually decided (main->tripcount 27%, main->peakbudget 28%, peakbudget->prespill 32%); the ~0.98 ranks belong to dyn_emitted_ops (0.979) and dyn_bytes (0.978), not to it",docs/plans/2026-09-01-register-allocation-escape-hatches.md (2026-09-05 block); schedule-cost §9,208 kernels x 5 allocations x 2 tiers,collapse_cost bench/analyze,Spearman; paired-sign %,real,S3b: dyn_traffic itself inverts on a guard change,INSTRUMENT DEFECT,"Ranking across kernels is size; the decision is not. dyn_traffic HELD for allocation trades, FAILED for schedule (guard) trades."
L076,"H. Lattice programme (real shaders, Sep 6)",Per-kernel collapse_cost clock ratios are not trustworthy below ~10%: byte-identical code measured 4x apart between runs (A/A floor ~1% within a run); control invariant04_hot reads 1.22x at SSE2,kernel-with-a-lattice S3b,208 kernels,collapse_cost bench,clock ratio,real,n/a,INSTRUMENT DEFECT,Every per-kernel clock claim in the programme inherits this; sigma over the corpus is the only clock claim allowed.
L077,"H. Lattice programme (real shaders, Sep 6)","S4a/S4b-1/S4b-2 identity gates: emitted bytes and deterministic columns identical across deletions; but the recorded AVX-512 column hashes (55aadbd0, 470a3c27) did not reproduce from the commits that recorded them",kernel-with-a-lattice S4a/S4b-1/S4b-2,208 kernels; two scene gates,collapse_cost; fnv1a over code_bytes,md5/fnv1a,real,n/a,INSTRUMENT DEFECT,"Compare rows of two builds, never a hash against prose (production-scale §6)."
L079,"H. Lattice programme (real shaders, Sep 6)",Text as Kernel::sum is O(n) per pixel: 87.8 / 171.1 / 297.7 ns/px for 5/10/26 chars vs 62.7 / 59.9 / 104.4 for a select tree,docs/plans/2026-09-06-lattice-is-the-index.md,text() glyph sums,"text_sizes bench, AVX-512 native",ns/px,real,n/a,HELD,The '50-char' case renders 26 chars; the curve's flattening is an artifact.
L080,"H. Lattice programme (real shaders, Sep 6)",A curved glyph is all row prologue: 'O'@32 is 33.1 ns/px on a 40-px lattice and 2.0 on a 640-px one (16.5x = batch-count ratio); per-row cost ~1.3 us because Y-only root-finding for 24 segments is hoisted out from under in_y and runs unconditionally,"docs/plans/2026-09-06-lattice-is-the-index.md §Why now, §5",glyph 'O' NotoSansMono 32 px,bench + PIXELFLOW_GUARD_TELEMETRY (selects=60 guarded=0),ns/px; us/row,real,n/a,HELD,A schedule/LICM finding; SelectHoistUnary in the e-graph pulls shared work OUT of arms with nothing opposing it (demand plan §4).
L081,"H. Lattice programme (real shaders, Sep 6)",C1 row-prologue guards: 'O'@32 goes from selects=60 guarded=0 to selects=125 guarded=2801 and 0.69 -> 0.37 us/row ('S' 1.07 -> 0.54),docs/plans/2026-09-07-demand-is-a-dag-property.md §Why now,glyphs O and S at 32 px,guard telemetry + per-row clock,entries; us/row,real,#1187 shipped TEST-ONLY; the per-select machinery never merged; the glyph waist bug is open on main,HELD,"Measured on an unmerged branch of a refuted approach; production is byte-for-byte unchanged, so nothing on main carries this number. VERDICT CORRECTED 2026-09-08: was NEVER TESTED ON REAL, which this ledger defines as minted on a generated corpus and never taken on a shipped kernel. This row's corpus is 'O' and 'S' at 32 px -- shipped glyph kernels -- so the definition cannot apply. The implementation being unmerged is a deployment qualification, not an absent measurement; it is stated rather than encoded as a verdict."
L082,"H. Lattice programme (real shaders, Sep 6)",A tight Y-extent gate fixes the '8' waist divergence at 17 px,docs/plans/2026-09-07-demand-is-a-dag-property.md §9 (#1187),'8' at 7-32 px vs FreeType oracle,freetype_oracle.rs; EXTENT_SLOP control,orphan texels; ink extent,real,"an always-true gate (EXTENT_SLOP 1e6) removed the divergence equally well — the fix was perturbing extraction, not correcting geometry; 5 approaches refuted",FAILED,The regression corpus was minted from the wrong rasterizer; only the external oracle could tell. Bug open on main.
L083,"H. Lattice programme (real shaders, Sep 6)",Estrin is a tie to 11% slower than Horner in the scanline (production) regime at every ISA for degree 4-9,docs/results/2026-09-06-horner-vs-estrin.md,degree sweep 4-32 + atan/sin/exp2/log2 polynomials,"horner_vs_estrin example, BenchMode::Latency/Throughput/Scanline; shared 4-vCPU VM, ~1/3 of runs discarded by sentinel",Horner/Estrin ns ratio (scanline mode); marginal ns per degree,synthetic,n/a,HELD,"Component-level but in the production loop shape; shows tile/latency-mode labels invert vs scanline — the instrument defect behind every tile-minted label. SPLIT 2026-09-08 (per open-thread-decisions.md #3, superseding the 2026-09-08 'narrowed, not split' revision immediately prior in this ledger's history): the serialized-critical-path '1.2-4.0x' number is now its own row, L089 (INSTRUMENT DEFECT). This row keeps only the scanline/production conclusion, which stands."
L084,"H. Lattice programme (real shaders, Sep 6)","Estrin has an underflow hazard (5-33x slower at arg 1e-9) fixed entirely by FastMathGuard, which the packed scene render path DOES hold (pixelflow-graphics/src/render/scene.rs:301, per render worker, x86-64 and aarch64) — the gap is the remaining unguarded paths",docs/results/2026-09-06-horner-vs-estrin.md §4,same,same,ns ratio,synthetic,n/a,HELD,Narrowed 2026-09-08: the shipped packed render path is guarded; the live gap is paths other than it.
L085,"H. Lattice programme (real shaders, Sep 6)",f32 polynomial accuracy floors at degree 7 (8.3e-8 one-rounding / 1.17e-7 two-rounding); Estrin's floor is ~2x Horner's; EXP2_POLY's 6 terms sit one below the knee,docs/results/2026-09-06-horner-vs-estrin.md §5,"exp2 on [0,1]",poly_precision example,max abs error,synthetic,n/a,HELD,Range-vs-precision doctrine instance; pins the shipped table sizes.
L086,"H. Lattice programme (real shaders, Sep 6)","The chrome scene: 416,420 arena nodes hash-cons to ~4,900 classes; stops ClassCap after 2 iterations at 4,913/5,000; 181-229 ms compile; 401 schedule entries, 17 selects, 642 guarded arm-exclusive entries summed over those selects (separate telemetry columns; the sum may count an entry once per select); 9,760 B SSE2 / 7,645 B AVX-512; 12.2 / 4.8 ns/px 1T",docs/plans/2026-09-06-egraph-at-production-scale.md §2,chrome scene,bench_scene_chrome; saturation-telemetry; guard telemetry,counts; bytes; ns/px,real,n/a,HELD,"The cap binds on the spliced INPUT (construction copies), not on rewrites — 'raise the cap' is not a meaningful experiment until construction hash-conses."
L087,I. Frame-level,The Guide programme's quality-at-budget framing: 'Y = half the truncation loss' with B=100/200 applications,docs/plans/2026-08-31-guide-design-revision.md §5; phase3-registration,synthetic classical band,n/a,TREE cost,synthetic,"real kernels quiesce/cap at 8,446-11,197 applications; on sh a guided arm at 4B is still 1.11-1.13x of unguided at B (DAG)",FAILED,The regime (B=100-200) and the unit (tree) were both wrong for the shipped kernels.
L088,I. Frame-level,'The cost model does 95% of the work' / a reranker over swap neighbourhoods is the next step,NOTES §1.5 folklore; schedule-cost-model-denotation (pre-§9 shape); integration audit's quotation of JP,Round-1 DEV 392 (cross-population rho),n/a,Spearman,synthetic,production-scale §7: 'B is not a step towards C'; the 3.6x on chrome is not in any DAG candidate set; the parity result was on a corpus with no schedule alternatives,FAILED,Retract the phrasing; the number it rests on is cross-population and synthetic.
L089,"H. Lattice programme (real shaders, Sep 6)",Estrin beats Horner 1.2-4.0× on the serialized critical path,docs/results/2026-09-06-horner-vs-estrin.md,degree sweep 4-32 + atan/sin/exp2/log2 polynomials,"horner_vs_estrin example, BenchMode::Latency (serialized critical path); shared 4-vCPU VM, ~1/3 of runs discarded by sentinel",Horner/Estrin ns ratio (serialized critical path),synthetic,n/a,INSTRUMENT DEFECT,SPLIT FROM L083 2026-09-08 per open-thread-decisions.md #3: AVX-512 latency rows below degree 16 are chaining-overhead dominated per the report's own warning (its table shows Estrin losing at degree 8/9 and log2); SSE2/AVX2 serialized rows are readable.
L090,G. Real-kernel A/Bs (2026-09-01/02),"Under the current Budget::Production, 93% of real kernels stop at ClassCap with a median of 2 saturation iterations",docs/results/2026-09-07-corpus-structural-gaps.md,207 real kernels (glyph + scene),corpus_gaps structural inventory,fraction stopping at ClassCap; iteration count (deterministic),real,n/a,HELD,"ADDED 2026-09-08 per open-thread-decisions.md #8. Companion to L053/L056 under the regime now shipped; those rows are historical (200 ms-timeout regime, pre-#1118)."
L091,G. Real-kernel A/Bs (2026-09-01/02),"Median 5,422 rule applications at production stop — 54× the registered B=100",docs/results/2026-09-07-corpus-structural-gaps.md,207 real kernels (glyph + scene),corpus_gaps structural inventory,rule applications (count),real,n/a,HELD,ADDED 2026-09-08 per open-thread-decisions.md #8. Corrects L053/L056's dependent 85× (computed under the retired 200 ms-timeout regime) to 54× under the current Budget::Production (5422/100).
L092,G. Real-kernel A/Bs (2026-09-01/02),"Scenes/shaders enter the e-graph small (chrome 465, psychedelic 112, mandelbrot 128, julia 110 hash-consed nodes) and the RULES expand them 10–40× to the class cap in 2–5 iterations (chrome 4,940 / 5,531 apps; psychedelic 4,676 / 7,319; mandelbrot 3,675 / 15,392; julia 4,533 / 14,956), buying 4–25% dag_cost on three of the four — chrome, psychedelic, mandelbrot; julia regresses instead (dag_cost off→on +1.0%, cse→on +8.6%: the extractor chose a dearer DAG once the input stayed in the graph, not a rewrite forcing it — its on-extraction has more nodes than its input, 123 vs 122). The largest glyphs (the top ~18%, hash-consed nodes 1.6k–3.4k) bind the 5,000 cap in ONE iteration; the median glyph enters at 734 hash-consed nodes and takes 2 iterations — the one-iteration reading does not generalize to glyphs as a population",docs/results/2026-09-07-corpus-structural-gaps.csv; docs/results/2026-09-07-egraph-off-vs-on-real-shaders.md,"chrome, psychedelic, mandelbrot, julia scenes + glyph corpus",corpus_gaps structural inventory + egraph_off_on,hash-consed node counts; rule applications; iterations; dag_cost %,real,n/a,HELD,"ADDED 2026-09-08 per open-thread-decisions.md #8. The production-scale plan's '~4,900 classes after hash-consing' / 'almost the whole budget is spent representing the input' (docs/plans/2026-09-06-egraph-at-production-scale.md S2) was pre-#1146 telemetry and is superseded by this row; a dated Superseded note pointing here is added in #1215's worktree, which already carries retraction blocks on plan docs. CORRECTED 2026-09-08: the claim as first drafted (i) stated a uniform 4-25% dag_cost gain across all four named kernels, but julia_set regresses (off->on +1.0%, docs/results/2026-09-07-egraph-off-vs-on-real-shaders.md:46), and (ii) described 'glyphs' generally as entering at 1.6k-4.2k nodes and binding the cap in one iteration, but the full 190-glyph population's median is 734 hash-consed nodes and 2 iterations (docs/results/2026-09-07-corpus-structural-gaps.csv); only the largest ~18% (nodes_hashcons in [1600,3424], 32/34 at 1 iteration) matches the one-iteration reading. Both narrowed against the source data rather than restated."
